ID,CountDate,MaterialID,PartialCountID,AreasToCount,WorksheetXAreas,Counter,Priority,Completed,Unscheduled,Material Not Found,Reason Scheduled,CM Print Flag,Notes
73,04/12/2022,192,0,,,Chris,,TRUE,FALSE,FALSE,,FALSE,
74,04/12/2022,218,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
75,04/12/2022,223,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
76,04/12/2022,224,0,,,Chris,,TRUE,FALSE,FALSE,,FALSE,
77,04/11/2022,373,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
78,04/15/2022,9,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
79,04/15/2022,21,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
80,04/11/2022,23,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
81,04/11/2022,24,0,,,Calvin,hot,TRUE,FALSE,FALSE,,FALSE,
82,04/15/2022,28,0,,,Chris,,TRUE,FALSE,FALSE,,FALSE,
83,04/18/2022,33,0,,,Chris,,TRUE,FALSE,FALSE,,FALSE,
84,04/15/2022,63,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
85,04/15/2022,65,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
86,04/13/2022,66,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
87,04/15/2022,83,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
88,04/15/2022,85,0,,,Chris,,TRUE,FALSE,FALSE,,FALSE,
89,04/15/2022,87,0,,,Nikkia,,FALSE,FALSE,FALSE,,FALSE,
90,04/13/2022,268,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
91,04/18/2022,385,0,,,((unassigned)),,FALSE,FALSE,FALSE,,FALSE,
92,04/18/2022,386,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
93,04/18/2022,554,0,,,Nikkia,,TRUE,FALSE,FALSE,,FALSE,MPB??
94,04/13/2022,628,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
95,04/13/2022,637,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
96,04/21/2022,2,0,,,Nikkia,,TRUE,FALSE,FALSE,,FALSE,
97,04/21/2022,6,0,,,Nikkia,,TRUE,FALSE,TRUE,,FALSE,all in kitting
98,04/15/2022,10,0,,,((unassigned)),,FALSE,FALSE,FALSE,,FALSE,
99,04/22/2022,12,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
100,04/22/2022,16,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
101,04/06/2022,44,0,,,Chris,,TRUE,FALSE,FALSE,,FALSE,
102,04/07/2022,56,0,,,Chris,,TRUE,FALSE,FALSE,,FALSE,
103,04/07/2022,55,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
104,04/07/2022,630,0,,,Chris,,TRUE,FALSE,FALSE,,FALSE,
105,04/07/2022,86,0,,,Chris,,TRUE,FALSE,FALSE,,FALSE,
106,04/07/2022,106,0,,,Chris,,TRUE,FALSE,FALSE,,FALSE,
107,04/07/2022,120,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
108,04/07/2022,192,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
109,04/06/2022,218,0,,,Ryan,,TRUE,FALSE,FALSE,,FALSE,
110,04/07/2022,223,0,,,Chris,,TRUE,FALSE,FALSE,,FALSE,
111,04/07/2022,224,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
112,04/07/2022,628,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
113,04/11/2022,374,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
114,04/11/2022,326,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
115,04/11/2022,328,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
116,04/14/2022,251,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
117,04/12/2022,191,0,,,Chris,,TRUE,FALSE,FALSE,,FALSE,
