Bldg,Location,SubLocation
SMC_AST_1-1,p12-13,
SMC_AST_1-1,p13,
SMC_AST_1-1,p2,
SMC_AST_1-1,p3,
SMC_AST_1-1,p4,
SMC_AST_1-1,p6,
SMC_AST_1-1,plt 10,
SMC_AST_1-1,plt 3,
SMC_AST_1-1,plt 9,
SMC_AST_2-1,,
SMC_AST_2-1,p1,
SMC_AST_2-1,p12,
SMC_AST_2-1,"p12,13",
SMC_AST_2-1,p3,
SMC_AST_2-1,p4,
SMC_AST_2-1,p5,
SMC_AST_2-1,p8,
SMC_AST_2-1,plt 4,
SMC_AST_2-1,plt 5,
SMC_AST_3-1,p10,
SMC_AST_3-1,p11,
SMC_AST_3-1,p2,
SMC_AST_3-1,p3,
SMC_AST_3-1,p6,
SMC_AST_3-1,p8,
SMC_AST_3-1,p9,
SMC_AST_3-1,plt 8,
SMC_AST_3-1,plt 9,
SMC_AST_4,,
SMC_AST_4,p2,
SMC_AST_4,p3,
SMC_AST_4,p5,
SMC_AST_5,p14,
SMC_CN,,
SMC_CN_2,,
SMC_CN_2-1,plt 4,
SMC_RBFB_1-1,,
SMC_RBFB_2-1,,
SMC_RBFB_3-1,,
"SMC_RBFB_3-1, 4-1",,
"SMC_RBFB_3-1,4-1",,
SMC_RBFB_4-1,,
SMC_West dock,,
SMC_Xena_1-1,,
