Material,Plant,Valuation Type,Material description,Last Change,Material type,Material Group,Base Unit of Measure,Purchasing Group,ABC Indicator,MRP Type,Valuation Class,Price control,Price,Currency,Price unit,Created by
00033754-403-PKG,FW61,,"PCBA,MB,A00,CLX,CANNONBALL, Packaging",09/28/2021,ZROH,UMOTHR,EA,FW3,C,ND,3000,V,0.00,USD,"10,000",FIIWENG02
00033754-403-PTH,FW61,,"PCBA,MB,A00,CLX,CANNONBALL, PTH",03/08/2022,ZROH,SM009,EA,FW3,C,ND,3000,V,0.00,USD,"10,000",FIIWENG02
00033754-403-SMT,FW61,,"PCBA,MB,A00,CLX,CANNONBALL, SMT",03/08/2022,ZROH,SM009,EA,FW3,C,ND,3000,V,0.00,USD,"10,000",FIIWENG02
00033754-503-PKG,FW61,,"PCBA,MB,A00,CLX,CANNONBALL, Packaging",09/28/2021,ZROH,UMOTHR,EA,FW3,C,ND,3000,V,0.00,USD,"10,000",FIIWENG02
00033754-503-PTH,FW61,,"PCBA,MB,A00,CLX,CANNONBALL, PTH",09/28/2021,ZROH,SM009,EA,FW3,C,ND,3000,V,0.00,USD,"10,000",FIIWENG02
00033754-503-SMT,FW61,,"PCBA,MB,A00,CLX,CANNONBALL, SMT",09/28/2021,ZROH,SM009,EA,FW3,C,ND,3000,V,0.00,USD,"10,000",FIIWENG02
0101GES0A-S0002,FW62,,"RigidPCB,RiserCardBoard,Thunder2.0PCIERi",09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,676.00,USD,"1,000",FIIWENG02
0101K4P00-613-G,FW62,,"Rigid PCB,Server M/B,CONAN_MB_EVT,16,EM5",09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"2,800,000.00",USD,"10,000",FIIWENG02
0101K4P00-756-G,FW62,,"Rigid PCB,Server M/B,CONAN_MB_Pre-EVT3(E",09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"2,800,000.00",USD,"10,000",FIIWENG02
0101K4Q00-613-G,FW62,,PCB_16L_EM528+HVLP_Conan,09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"2,890,000.00",USD,"10,000",FIIWENG02
0101K4Q00-756-G,FW62,,PCB_16L_EM528+HVLP_Conan,09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"2,795,000.00",USD,"10,000",FIIWENG02
0101K4Q01-613-G,FW62,,"Rigid PCB,Server M/B,CONAN_MB_Pre-EVT4(E",09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"2,350,000.00",USD,"10,000",FIIWENG02
0101K4Q03-3F2-G,FW62,,Conan_MB_16L_EM528_HVLP2_ISU,09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"5,514,100.00",USD,"10,000",FIIWENG02
0101K4Q03-613-G,FW62,,Conan_MB_16L_EM528_HVLP2_GCE,09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"2,880,000.00",USD,"10,000",FIIWENG02
0101K4R01-613-G,FW62,,PCB_12L_EM528+RTF_Agora,09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"135,000.00",USD,"10,000",FIIWENG02
0101K4R02-613-G,FW62,,CONAN_AGORA_EVT1(EM528+RG311_GCE),09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"148,000.00",USD,"10,000",FIIWENG02
0101K4R04-666-G,FW62,,"Rigid PCB,Daughter Card,CONAN_Agora_DVT1",09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,0.00,USD,"10,000",FIIWENG02
0101K4R05-3F2-G,FW62,,CONAN_AGORA_DVT2(EM528+RG311_ISU),09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"332,300.00",USD,"10,000",FIIWENG02
0101K4R05-613-G,FW62,,CONAN_AGORA_DVT2(EM528+RG311_GCE),09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"148,000.00",USD,"10,000",FIIWENG02
0101K4R06-3F2-G,FW62,,"Rigid PCB,Daughter Card,CONAN_Agora_PVT1",09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"246,400.00",USD,"10,000",FIIWENG02
0101K4R06-613-G,FW62,,"Rigid PCB,Daughter Card,CONAN_Agora_PVT1",09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"148,000.00",USD,"10,000",FIIWENG02
0101K4R0A-3F2-G,FW62,,"Rigid PCB,Daughter Card,CONAN_Agora_GA(E",09/07/2022,ZROH,UMOTHR,EA,FWM,A,PD,3000,V,246.40,USD,10,FIIWENG02
0101K4R0A-613-G,FW62,,"Rigid PCB,Daughter Card,CONAN_Agora_GA(E",09/07/2022,ZROH,UMOTHR,EA,FWM,A,PD,3000,V,14.80,USD,1,FIIWENG02
0101K7H01-3F2-G,FW62,,Conan_MB_16L_EM528K_HVLP_ISU,09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"5,932,300.00",USD,"10,000",FIIWENG02
0101K7H01-613-G,FW62,,Conan_MB_16L_EM528K_HVLP_GCE,09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"3,300,000.00",USD,"10,000",FIIWENG02
0101K7H02-3F2-G,FW62,,Conan_MB_16L_EM528K_HVLP2_ISU,09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"6,192,700.00",USD,"10,000",FIIWENG02
0101K7H02-613-G,FW62,,Conan_MB_16L_EM528K_HVLP2_GCE,09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"3,950,000.00",USD,"10,000",FIIWENG02
0101K7H06-3F2-G,FW62,,CONAN_MB_DVT2(EM528K+HVLP_ISU),09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"6,598,600.00",USD,"10,000",FIIWENG02
0101K7H06-613-G,FW62,,CONAN_MB_DVT2(EM528K+HVLP_GCE),09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"3,750,000.00",USD,"10,000",FIIWENG02
0101K7H06-666-G,FW62,,"Rigid PCB,Server M/B,CONAN_MB_DVT1(EM528",09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,0.00,USD,"10,000",FIIWENG02
0101KB100-3F2-G,FW62,,Conan_MB_16L_M6G_HVLP2_ISU,09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"5,874,400.00",USD,"10,000",FIIWENG02
0101KB100-613-G,FW62,,Conan_MB_16L_M6G_HVLP2_GCE,09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"3,580,000.00",USD,"10,000",FIIWENG02
0101KB101-613-G,FW62,,Conan_PreDVT_MB_M6G_HVLP2_16L,09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"2,880,000.00",USD,"10,000",FIIWENG02
0101KB103-3F2-G,FW62,,CONAN_MB_DVT2(MEGA-6G+HVLP2_ISU),09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"4,897,205.90",USD,"10,000",FIIWENG02
0101KB103-613-G,FW62,,CONAN_MB_DVT2(MEGA-6G+HVLP2_GCE),09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"2,770,000.00",USD,"10,000",FIIWENG02
0101KB104-3F2-G,FW62,,"Rigid PCB,Server M/B,CONAN_MB_DVT2(MEGA-",09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,0.00,USD,"10,000",FIIWENG02
0101KB105-3F2-G,FW62,,"Rigid PCB,Server M/B,CONAN_MB_PVT1(MEGA-",10/04/2022,ZROH,UMOTHR,EA,FWM,A,PD,3000,V,378.38,USD,1,FIIWENG02
0101KB105-613-G,FW62,,"Rigid PCB,Server M/B,CONAN_MB_PVT1(MEGA-",10/04/2022,ZROH,UMOTHR,EA,FWM,A,PD,3000,V,277.00,USD,1,FIIWENG02
0101KQ300-613-G,FW62,,"Rigid PCB,Daughter Card,Astoria_AGORA_V2",09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"259,000.00",USD,"10,000",FIIWENG02
0101LKL00-613-G,FW62,,"Rigid PCB,Backpanel Board,GULP_850W_EVT1",09/07/2022,ZROH,UMOTHR,EA,SP1,A,PD,3000,V,11.95,USD,1,FIIWENG02
0101LKL01-3F2-G,FW62,,"Rigid PCB,Backpanel Board,GULP_850W_DVT1",09/07/2022,ZROH,UMOTHR,EA,FI2,A,PD,3000,V,12.71,USD,1,FIIWENG02
0101LKL01-613-G,FW62,,"Rigid PCB,Backpanel Board,GULP_850W_EVT1",09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,11.95,USD,1,FIIWENG02
0101LKL0A-3F2-G,FW62,,"Rigid PCB,Backpanel Board,GULP_850W_PVT1",08/04/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,0.00,USD,1,FIIWENG02
0101LKL0A-613-G,FW62,,"Rigid PCB,Backpanel Board,GULP_850W_PVT1",08/04/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,11.95,USD,1,FIIWENG02
045101.5MRL-G,FW62,,"Fuse,Fast acting,125V,1.5A,SMD,G",09/07/2022,ZROH,UMOTHR,KPC,SP4,A,PD,3000,V,0.00,USD,1,FIIWENG02
0679L-1500-05-G,FW62,,"FUSE SMD 1.5A/125V(FAST,UL/CSA/CE)SSQ1.5",09/07/2022,ZROH,UMOTHR,KPC,SP5,A,PD,3000,V,0.00,USD,1,FIIWENG02
0679L1500-05-G,FW62,,TBD,09/07/2022,ZROH,UMOTHR,EA,FI2,A,PD,3000,V,0.00,USD,1,FIIWENG02
07000671-G,FW62,,"Label, White, Blank, 0.25"" x 1.25"", Poly",09/07/2022,ZROH,UMOTHR,KPC,FI2,A,PD,3000,V,450.00,USD,10,FIIWENG02
07132441,FW62,,"ODM,IC,Hot Swap Controller, 10- 80V, -40",09/15/2022,ZROH,UMOTHR,EA,SP2,B,PD,3000,V,0.00,USD,"10,000",FIIWENG02
1.5SMCJ16CA-G,FW62,,TVS Diode,09/07/2022,ZROH,UMOTHR,KPC,SP2,A,PD,3000,V,92.85,USD,1,FIIWENG02
100-000000475-20-G,FW62,,TBD,09/07/2022,ZROH,UMOTHR,KPC,FWJ,B,PD,3000,V,0.00,USD,1,FIIWENG02
100415D00-600,FW62,,"RidgPCB,415D_RiserCardBoard",09/07/2022,ZHLB,SM007,EA,FI2,A,PD,3000,V,0.00,USD,"1,000",FIIWENG02
100415D00-600-PTH,FW62,,"RidgPCB,415D RiserCardBoard PTH",09/07/2022,ZROH,SM009,EA,FI2,A,PD,3000,S,0.00,USD,"1,000",FIIWENG02
100415D00-600-SMT,FW62,,"RidgPCB,415D RiserCardBoard SMT",09/07/2022,ZROH,SM009,EA,FI2,A,PD,3000,S,0.00,USD,"1,000",FIIWENG02
1010L30M-011-G,FW62,,"RES,thick film,1KOhm,+/-1%,1/16W,SMD0402",09/07/2022,ZROH,UMOTHR,KPC,SP5,A,PD,3000,V,0.00,USD,1,FIIWENG02
10129383-9200-G,FW62,,"Header&Socket Connector,212-92-10SBE1,Pi",09/07/2022,ZROH,UMOTHR,EA,SP1,A,PD,3000,V,"3,126.09",USD,"10,000",FIIWENG02
10146997-0810-G,FW62,,"CONN DIP HEADER 8P 2R MR(P5.7,H14.53)",09/07/2022,ZROH,UMOTHR,EA,SP1,A,PD,3000,V,"14,400.00",USD,"10,000",FIIWENG02
10146997-08101-G,FW62,,TBD,09/07/2022,ZROH,UMOTHR,EA,SP1,A,PD,3000,V,0.00,USD,1,FIIWENG02
1044091-02,FW62,,"BAFFLE, TRAY FILLER, PCIe SLOTS, w/ UV l",09/26/2022,ZROH,UMOTHR,EA,FI2,A,PD,3000,V,"8,138.10",USD,"10,000",FIIWENG01
1067010-01,FW62,,"ASM, Base, Tray, EMC, ILK/CN",09/26/2022,ZROH,05,EA,FI2,A,PD,3000,S,"264,100.00",USD,"10,000",FIIWENG01
1067011-G,FW62,,1067011_brkt_sab_0901,09/07/2022,ZROH,UMOTHR,EA,FI2,A,PD,3000,V,"4,400.00",USD,"10,000",FIIWENG02
1074841-01-G,FW62,,S8I-AGORA-BRACKET-ASSY.ASM,09/07/2022,ZROH,UMOTHR,EA,FI2,A,PD,3000,V,6.31,USD,1,FIIWENG02
1088366-04,FW62,,Rigid PCB,09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,0.00,USD,"10,000",FIIWENG02
1088366-05,FW62,,Rigid PCB,09/07/2022,ZROH,UMOTHR,EA,FI2,A,PD,3000,V,13.50,USD,1,FIIWENG02
1088366-05-G,FW62,,"Rigid PCB,Backpanel Board,Super Big Gulp",09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,13.50,USD,1,FIIWENG02
1088366-07-3F2-G,FW62,,"Rigid PCB,Backpanel Board,Super Big Gulp",09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,0.00,USD,1,FIIWENG02
1088366-07-419,FW62,,"Rigid PCB,Backpanel Board,Super Big Gulp",07/21/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,0.00,USD,1,FIIWENG02
1088366-07-613-G,FW62,,"Rigid PCB,Backpanel Board,Super Big Gulp",09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,11.95,USD,1,FIIWENG02
1088366-07-G,FW62,,"Rigid PCB,Backpanel Board,Super Big Gulp",09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,0.00,USD,1,FIIWENG02
1088366-08-419,FW62,,"Rigid PCB,Backpanel Board,Super Big Gulp",07/27/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,18.15,USD,1,FIIWENG02
1088368-04,FW62,,Astoria_Super Big Gulp_PDB_brick_Scout B,09/07/2022,ZHLB,SM007,EA,FI2,A,PD,7900,S,0.00,USD,"10,000",FIIWENG02
1088368-05,FW62,,"PDB, PCBA, 1500W Power Supply Module, Su",09/26/2022,ZHLB,03,EA,FI2,A,PD,7900,S,135.21,USD,1,FIIWENG02
1088368-05-PTH,FW62,,Astoria SUPER BIG Gulp PTH Phantom Parts,09/07/2022,ZROH,SM009,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1088368-05-SMT,FW62,,Astoria SUPER BIG Gulp SMT Phantom Parts,09/07/2022,ZROH,SM009,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1088368-05-U69,FW62,,Astoria Gulps FRU Program Part U69,09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1088368-07,FW62,,Astoria_Super Big Gulp_PDB_brick_Scout B,09/07/2022,ZHLB,SM007,EA,FI2,A,PD,7900,S,0.00,USD,1,FIIWENG02
1088368-07-PTH,FW62,,Astoria SUPER BIG Gulp PTH Phantom Parts,09/07/2022,ZROH,SM009,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1088368-07-SMT,FW62,,Astoria SUPER BIG Gulp SMT Phantom Parts,09/07/2022,ZROH,SM009,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1088368-08,FW62,,Astoria_Super Big Gulp_PDB_brick_Scout B,09/27/2022,ZHLB,SM007,EA,FI2,A,PD,7900,S,133.93,USD,1,FIIWENG01
1088368-08-PTH,FW62,,Superbig gulp Phantom PTH,09/07/2022,ZROH,SM009,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1088368-08-SMT,FW62,,Superbig gulp Phantom SMT,09/07/2022,ZROH,SM009,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1088368-09,FW62,,Astoria_Super Big Gulp_PDB_brick_Scout B,09/12/2022,ZHLB,SM007,EA,FI2,A,PD,7900,S,139.94,USD,1,FIIWENG01
1088369-04,FW62,,"FAB, PCB, PDB Adapter, Izumi, DVT1, RoHS",09/26/2022,ZROH,05,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1091944-02,FW62,,"PDB, PCBA, 600W Power Supply Module, Big",09/07/2022,ZROH,UMOTHR,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1091947-03,FW62,,Astoria_Big Gulp_PDB_brick_Scout Build,09/07/2022,ZHLB,SM007,EA,FI2,A,PD,7900,S,0.00,USD,"10,000",FIIWENG02
1091947-05,FW62,,"PDB, PCBA, 600W Power Supply Module, Big",09/26/2022,ZHLB,SM007,EA,FI2,A,PD,7900,S,96.13,USD,1,FIIWENG01
1091947-05-PTH,FW62,,Astoria Big Gulp PTH Phantom Parts,09/07/2022,ZROH,SM009,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1091947-05-SMT,FW62,,Astoria Big Gulp SMT Phantom Parts,09/07/2022,ZROH,SM009,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1092676,FW62,,"Fan, 40x40x28 mm, 26500 RPM, 10.8V-12.6V",09/26/2022,ZROH,05,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1092963-02,FW62,,"Cable, Power, PDBB to Big Gulp Power Mod",09/26/2022,ZROH,05,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1093404-02,FW62,,"PCBA • Assy, PDB Power Module, 600W, Ren",09/07/2022,ZHLB,SM007,EA,FI2,A,PD,7900,S,0.00,USD,1,FIIWENG02
1093695-01,FW62,,"FAB, PCB, Agora-Conan, MEG6G, pre-EVT3,",09/07/2022,ZHLB,SM007,EA,SP6,A,PD,7900,S,"51,423.64",USD,"1,000",FIIWENG02
1093695-01-PK-G,FW62,,(Agora V2D Box),09/07/2022,ZROH,UMOTHR,EA,FI2,A,PD,3000,V,0.00,USD,1,FIIWENG02
1093695-01-PKG,FW62,,"809408 - PACKAGING, AGORA",09/07/2022,ZROH,UMOTHR,EA,FI2,A,PD,3000,V,"46,420.83",USD,"10,000",FIIWENG02
1093695-02,FW62,,CONAN_AGORA_PRE-EVT4_PCA PN,09/07/2022,ZHLB,SM007,EA,FI2,A,PD,7900,S,"65,026.74",USD,"1,000",FIIWENG02
1093695-03,FW62,,Agora EVT1,09/26/2022,ZROH,SM007,EA,FI2,A,PD,7900,S,71.03,USD,1,FIIWENG01
1093695-03-3F2,FW62,,Agora EVT-1 ISU,09/07/2022,ZHLB,SM007,EA,FI2,A,PD,7900,S,"103,373.43",USD,"1,000",FIIWENG02
1093695-05,FW62,,CONAN_AGORA_DVT1(EM528+RG311_SANMINA),09/26/2022,ZROH,SM007,EA,FI2,A,PD,7900,S,599.21,USD,1,FIIWENG01
1093695-06,FW62,,CONAN_AGORA_DVT2(EM528+RG311),09/26/2022,ZHLB,SM007,EA,FI2,A,PD,7900,S,97.39,USD,1,FIIWENG01
1093695-06-3F2,FW62,,REV OF PCA,09/26/2022,ZHLB,SM007,EA,FI2,A,PD,7900,S,"832,560.00",USD,"10,000",FIIWENG01
1093695-06-PTH1,FW62,,AGRA DVT2 PHN,09/07/2022,ZROH,SM009,EA,FI2,A,PD,3000,S,0.00,USD,"10,000",FIIWENG02
1093695-06-PTHDH,FW62,,Agora Conan Phantom PTH,09/07/2022,ZROH,SM009,EA,FI2,A,PD,3000,S,0.00,USD,"10,000",FIIWENG02
1093695-06-SMT,FW62,,DVT2 Agora_Conan SMT,09/07/2022,ZROH,SM009,EA,FI2,A,PD,3000,S,0.00,USD,"10,000",FIIWENG02
1093695-06-SMT1,FW62,,AGRA DVT2 PHN,09/07/2022,ZROH,SM009,EA,FI2,A,PD,3000,S,0.00,USD,"10,000",FIIWENG02
1093695-06-SMTDH2,FW62,,Agora Conan Phantom SMT,09/07/2022,ZROH,SM009,EA,FI2,A,PD,3000,S,0.00,USD,"10,000",FIIWENG02
1093695-07,FW62,,"Assy, Agora-Conan, DC-SCM, EM528_RTF(RG3",09/26/2022,ZHLB,05,EA,FI2,A,PD,7900,S,100.86,USD,1,FIIWENG01
1093695-07-02,FW62,,"Assy, Agora-Conan, DC-SCM, EM528_RTF(RG3",09/07/2022,ZROH,SM007,EA,FI2,A,PD,7900,S,0.00,USD,1,FIIWENG02
1093695-07-02-PTH,FW62,,Agora PVT2 PTH Parts,09/07/2022,ZROH,SM009,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1093695-07-02-SMT,FW62,,Agora PVT2 SMT Parts,09/07/2022,ZROH,SM009,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1093695-07-02-XU01,FW62,,conan_BIOS 20211222.bios,09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1093695-07-02-XU02,FW62,,KudoBMC_ver00.16_H.mtd,09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1093695-07-PTH,FW62,,Agora_PVT1_1093695-07 Phantom PTH,09/07/2022,ZROH,SM009,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1093695-07-SMT,FW62,,Agora_PVT1_1093695-07 Phantom SMT,09/07/2022,ZROH,SM009,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1093695-07-U1,FW62,,Agora_BMC_FRU_SN_MAC_PVT,09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1093695-07-U5,FW62,,Max34451_v1.6_20210616.hex,09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1093695-07-U7,FW62,,Conan_Agora_CPLD_v00.0F.jed,09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1093695-07-XU01,FW62,,conan_2021_08_22.bios,09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1093695-07-XU01-20211222,FW62,,Agora XU01-BIOS-V20211222,09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1093695-07-XU02,FW62,,KudoBMC_ver00.15_H.mtd,09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1093695-07-XU02-V016,FW62,,Agora XU02-BMC-V0.16,09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1093695-08,FW62,,"Assy, Agora-Conan, DC-SCM, EM528_RTF(RG3",08/30/2022,ZHLB,05,EA,FI2,A,PD,7900,S,90.08,USD,1,FIIWENG02
1093695-08-02,FW62,,CONAN_AGORA_GA2(EM528+RG311),06/21/2022,ZHLB,SM007,EA,FI2,A,PD,7900,S,0.00,USD,1,FIIWENG02
1093695-08-02-PTH,FW62,,AGORA GA2 PTH PHANTOM Parts,06/17/2022,ZROH,SM009,EA,FI2,B,PD,3000,S,0.00,USD,1,FIIWENG02
1093695-08-02-SMT,FW62,,AGORA GA2 SMT PHANTOM Parts,06/17/2022,ZROH,SM009,EA,FI2,B,PD,3000,S,0.00,USD,1,FIIWENG02
1093695-08-@XU01-01,FW62,,conan_BIOS 20211222.bios,06/21/2022,ZROH,UAAA,EA,FI2,B,PD,3000,S,0.00,USD,1,FIIWENG02
1093695-08-@XU02-01,FW62,,fBMC_Kudo_ver00.17-02_H.mtd,08/22/2022,ZROH,UAAA,EA,FI2,B,PD,3000,V,0.00,USD,1,FIIWENG02
1093695-08-PTH,FW62,,Agora GA1 PTH Parts,09/07/2022,ZROH,SM009,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1093695-08-SMT,FW62,,Agora GA1 SMT Parts,09/07/2022,ZROH,SM009,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1093695-08-U5-01,FW62,,Max34451_v1.6_20210616.hex,09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1093695-08-U7-01,FW62,,Conan_Agora_CPLD_v00.0F.jed,09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,V,1.48,USD,1,FIIWENG02
1093695-08-XU01,FW62,,conan_BIOS 20211222.bios,09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1093695-08-XU01-01,FW62,,conan_BIOS 20211222.bios,09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1093695-08-XU02,FW62,,Agora Program Part BMC @XU02 GA1,09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1093695-08-XU02-01,FW62,,fBMC_Kudo_ver00.17_H.mtd,09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1093695-U5-01,FW62,,Conan Agora GA1 Programmed Part U5,09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1093698-01,FW62,,Conan_MLB_Pre-EVT2_PCA PN,09/07/2022,ZHLB,SM007,EA,FI2,A,PD,7900,S,"700,421.11",USD,"1,000",FIIWENG02
1093698-01-1,FW62,,"D/C Non-Joined, 25 1/4 x 21 x 3 1/8",09/07/2022,ZROH,UMOTHR,EA,FI2,A,PD,3000,V,"21,543.17",USD,"10,000",FIIWENG02
1093698-01-2,FW62,,"Pink Anti-static Foam, 2.25 x 20.813 x 2",09/07/2022,ZROH,UMOTHR,EA,FI2,A,PD,3000,V,"185,382.42",USD,"10,000",FIIWENG02
1093698-01-3,FW62,,"3 PCB Boxes/Outer Box, 26 3/4 x 21 1/2 x",09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"45,031.76",USD,"10,000",FIIWENG02
1093698-01-4,FW62,,"3 Mil Static Shielding Bags, 24 x 30",09/07/2022,ZROH,UMOTHR,EA,FI2,A,PD,3000,V,"13,425.31",USD,"10,000",FIIWENG02
1093698-02,FW62,,CONAN_MB_PRE-EVT3_PCA PN(EM528 + RG311 C,09/07/2022,ZHLB,SM007,EA,FI2,A,PD,7900,S,"1,313,210.77",USD,"1,000",FIIWENG02
1094078-05,FW62,,"Ver 0.15, Checksum 0b0d, 16-SOIC, PVT",09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,S,0.00,USD,"1,000",FIIWENG02
1094078-06,FW62,,KudoBMC_ver00.16_H.mtd,09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1094081-05,FW62,,"Ver 20210822,ChecksumT77e0,16-SOIC,PVT",09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,S,0.00,USD,"1,000",FIIWENG02
1094081-05 ,FW62,,"Ver 20210822,ChecksumT77e0,16-SOIC,PVT",09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,S,0.00,USD,"1,000",FIIWENG02
1094081-06,FW62,,conan_BIOS 20211222.bios,09/07/2022,ZROH,UAAA,EA,FI2,A,PD,3000,S,0.00,USD,1,FIIWENG02
1099058-02,FW62,,CONAN_MB_PRE-EVT4_PCA PN(EM528 + HVLP CO,09/07/2022,ZHLB,SM007,EA,FI2,A,PD,7900,S,"1,208,558.16",USD,"1,000",FIIWENG02
1100524-01,FW62,,Sanmina Conan PCB board,09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,0.00,USD,"10,000",FIIWENG02
1100532-01,FW62,,"Rigid PCB,Daughter Card,CONAN_Agora_Pre-",09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,0.00,USD,"10,000",FIIWENG02
1101569-01,FW62,,"Heatsink, CPU, Modification, Conan, DVT",09/26/2022,ZROH,UMOTHR,EA,SP4,A,PD,3000,V,"360,300.00",USD,"10,000",FIIWENG01
