Material,Plant,Valuation Type,Material description,Last Change,Material type,Material Group,Base Unit of Measure,Purchasing Group,ABC Indicator,MRP Type,Valuation Class,Price control,Price,Currency,Price unit,Created by
G1105331-1,FW62,,"JDM, XTAL,12MHZ, +/- 30PPM, 18pF,-40 to",09/07/2022,ZROH,UMOTHR,KPC,FWJ,A,PD,3000,V,"145,000.00",USD,"1,000",FIIWENG02
G1105332,FW62,,"JDM, Cap Ceramic 47uF 4V X6S 20% SMD 080",09/07/2022,ZROH,UMOTHR,KPC,SP4,C,PD,3000,V,0.00,USD,"1,000",FIIWENG02
G1105332-1,FW62,,"Cap, 47uF, X6S, 20%, 4V, 0805, RoHS",09/07/2022,ZROH,UMOTHR,KPC,SP4,C,PD,3000,V,"12,700.00",USD,"1,000",FIIWENG02
G1105334,FW62,,"TRANSISTOR,NPN,40V,200mA,SOT23,3P,TR",09/07/2022,ZROH,UMOTHR,KPC,SP2,C,PD,3000,V,"19,000.00",USD,"1,000",FIIWENG02
G1105334-1,FW62,,"JDM, TRANS, NPN, 40V, 0.2A, SMD SOT23-3,",09/07/2022,ZROH,UMOTHR,KPC,FI2,C,PD,3000,V,0.00,USD,"1,000",FIIWENG02
G1105335,FW62,,"CAP, 18pF, C0G, 5%, 50V, 0402, RoHS",09/07/2022,ZROH,UMOTHR,KPC,SP4,C,PD,3000,V,"1,200.00",USD,"1,000",FIIWENG02
G1105335-1,FW62,,"CAP, 18pF, C0G, 5%, 50V, 0402, RoHS",09/07/2022,ZROH,UMOTHR,KPC,SP4,C,PD,3000,V,"1,200.00",USD,"1,000",FIIWENG02
G1105335-2,FW62,,"JDM, Cap Ceramic 18pF 50V C0G 5% SMD 040",09/07/2022,ZROH,UMOTHR,KPC,SP4,C,PD,3000,V,0.00,USD,"1,000",FIIWENG02
G1105335-3,FW62,,"JDM, Cap Ceramic 18pF 50V C0G 5% SMD 040",09/07/2022,ZROH,UMOTHR,KPC,SP4,C,PD,3000,V,0.00,USD,"1,000",FIIWENG02
G1105336,FW62,,"JDM, IC,OP Amp, Dual, GP R-R I/O, -40 to",09/07/2022,ZROH,UMOTHR,EA,FI2,A,PD,3000,V,0.00,USD,"1,000",FIIWENG02
