| id    | Material             | Description                                   | SAPMaterialType | SAPMaterialGroup | Price  | PriceUnit | Notes                                                                                                                                          | PartType_id | org_id | TypicalContainerQty | TypicalPalletQty |
|  9171 | 07134228             | Option, PCIe, NIC, 1 Port, 1x50GE zQSFP,      | ZMOD            | 05               |      0 |         0 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9172 | 07134491             | Assy, IceFyre, Broadwell DE 1.9GHz + Bra      | ZMOD            | 05               |      0 |         0 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9173 | 07141552             | 07141552_brkt_granite.prt                     | ZROH            | 02               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9174 | 10040Y700-600-G      | PCIeCard,Groot_Purley_1U1_x16_PCIe_riser      | ZROH            | 05               |      6 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9175 | 100412J00-600-G      | Back Plane Board,G,10SFF HDD BP               | ZROH            | 05               |     35 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9176 | 10162405-1S2004LF    | Cable, Power, PDBB to Big Gulp Power mod      | ZROH            | 05               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9177 | 1021801-01           | Assy, Razorback PCIe x 8, 4096GB eTLC, 2      | ZROH            | 02               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9178 | 1021801-02           | Assy, Razorback PCIe x 8, 4096GB eTLC, 0      | ZROH            | 02               |      0 |      1000 |                                                                                                                                                |           8 |      1 |                NULL |             NULL |
|  9179 | 1024099-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9180 | 1029647              | Assy, Tray, Ikea, Base Config, IceFyre w      | ZMOD            | 03               |      0 |         0 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9181 | 1029737-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9182 | 1029738-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9183 | 1029738-02           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9184 | 1030556-03           | Assy, Razorback PCIe x 8, 4096GB eTLC, 2      | ZROH            | 02               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9185 | 1031159-03           | Assy, Razorback PCIe x 8, 4096GB TLC, Op      | ZROH            | 02               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9186 | 1033384-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9187 | 1035129-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
